tick_inicio,tick_fin,ticks_ventana,throughput_ventana,pedidos_completados_ventana,pedidos_completados_acumulados,pedidos_pendientes_cola,pedidos_en_proceso,p95_pedido_ventana,p95_pedido_acumulado,p95_espera_ventana,p95_espera_acumulado,eventos_congestion_ventana,deadlocks_acumulados,utilizacion_ventana,utilizacion_acumulada
53001,53500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.23333803738317754
53501,54000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.2311775
54001,54500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.2290566055045872
54501,55000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.22697427272727275
55001,55500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.22492945945945947
55501,56000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.22292116071428572
56001,56500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.220948407079646
56501,57000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.21901026315789474
57001,57500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.21710582608695653
57501,58000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.21523422413793103
58001,58500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.21339461538461538
58501,59000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.21158618644067798
59001,59500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.20980815126050423
59501,60000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.20805975000000004
